EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Extras;;
Untertitel;Vorbereitung Wärmepumpenanschluss;;
Beschreibung_fett;Materialien:;;
;- 1x FI Typ B 40A/30mA;;
;- 2x 3polig B 16;;
;- notwendiges Klein- und Verdrahtungsmaterial;;
Beschreibung_fett;Leistungen:;;
;- Bestückung und Verdrahtung des Zählerschranks mit FI-Schutzschalter Typ B und Leitungsschutzschalter;;
;;;
H66TG3015 01;Vorbereitung Wärmepumpenanschluss;€/Stk.;708,6
;;;
Untertitel;Ansteuerung Wärmepumpe Smart Grid;;
Beschreibung_fett;Materialien:;;
;- Miniverteiler Aufputz;;
;- Schaltrelais mit Schließkontakt;;
;- Netzwerkleitung;;
;- ggf. Kabelkanal;;
;- notwendiges Klein- und Verdrahtungsmaterial;;
Beschreibung_fett;Leistungen:;;
;- Montieren des Miniverteilers;;
;- Bestückung und Verdrahtung des Schaltrelais;;
;- Programmierung des Wechselrichters auf gewünschte Werte;;
;- Herstellen einer Kabelverbindung von Wechselrichter zu Wärmepumpe;;
;- ggf. Ausbauen des Kabelwegs;;
Beschreibung_fett;In Leistung nicht enthalten:;;
;- Die Verdrahtung und Programmierung an der Wärmepumpe können wir nicht vornehmen, sodass der zuständige Heizungsbauer vorzugsweise am selben Tag vor Ort sein sollte.;;
;;;
H66TG3045 01;Smart Grid;€/Stk.;248,6
;;;
;;;
;;;
;;;
